Input provided to the model,Whether the prediction is correct (true/false),Expected if condition,Predicted if condition,Prediction score (0-100)
"def resolve_related_fields(self):
    if not self.from_fields or len(self.from_fields) != len(self.to_fields):
        raise ValueError('Foreign Object from and to fields must be the same non-zero length')
    if <MASK>:
        raise ValueError('Related model %r cannot be resolved' % self.remote_field.model)
    related_fields = []
    for (from_field_name, to_field_name) in zip(self.from_fields, self.to_fields):
        from_field = self if from_field_name == RECURSIVE_RELATIONSHIP_CONSTANT else self.opts.get_field(from_field_name)
        to_field = self.remote_field.model._meta.pk if to_field_name is None else self.remote_field.model._meta.get_field(to_field_name)
        related_fields.append((from_field, to_field))
    return related_fields",False,"isinstance(self.remote_field.model, str)",len ( self . model ) == 1,37.23
"def _insert_dequant_stubs_for_custom_module_lstm_output(node: Node, model: torch.nn.Module, named_modules: dict[str, torch.nn.Module], graph: Graph) -> Node:
    """"""
    Insert DeQuantStubs after each internal output node of custom module LSTM.

    Custom module LSTM outputs are nested tuples of the structure (output, (hidden0, hidden1)),
    Since we cannot dequantize a tuple as a whole, we must first break down the tuple into its
    components through `getitem`. This function transforms the graph as follows:

      (1) Split the LSTM node into (output, (hidden0, hidden1))
      (2) Insert a DeQuantStub after each internal node
      (3) Recombine the DeQuantStubs into the same structure as before
      (4) Reroute all consumers of the original LSTM node and its sub-nodes
          (e.g. lstm[0])

    Before:
                   lstm_output
                        |
                        v
                  original_user(s)
    After:
                   lstm_output
                  /           \\
                 /  (getitem)  \\
                /               \\
               v                 v
             output            hidden
               |               /   \\
         (DeQuantStub)        (getitem)
               |             /       \\
               v            v         v
           output_dq     hidden0    hidden1
               |            |         |
               |    (DeQuantStub) (DeQuantStub)
               |            |         |
               |            v         v
               |      hidden0_dq  hidden1_dq
               |            \\       /
               |              (tuple)
               |              \\   /
               |               v  v
               |             hidden_dq
               \\               /
                \\   (tuple)   /
                 v            v
                 lstm_output_dq
                       |
                       v
                original_user(s)

    For step (4), reroute all users of the original LSTM node(s) as follows:
      lstm_output -> lstm_output_dq
      lstm_output[0] -> output_dq
      lstm_output[1] -> hidden_dq
      lstm_output[1][0] -> hidden0_dq
      lstm_output[1][1] -> hidden1_dq

    Return the node `lstm_output_dq`.
    """"""
    with graph.inserting_after(node):
        output = graph.call_function(operator.getitem, (node, 0))
        output_dq = _insert_dequant_stub(output, model, named_modules, graph)
    with graph.inserting_after(output_dq):
        hidden = graph.call_function(operator.getitem, (node, 1))
    with graph.inserting_after(hidden):
        hidden0 = graph.call_function(operator.getitem, (hidden, 0))
        hidden0_dq = _insert_dequant_stub(hidden0, model, named_modules, graph)
    with graph.inserting_after(hidden0_dq):
        hidden1 = graph.call_function(operator.getitem, (hidden, 1))
        hidden1_dq = _insert_dequant_stub(hidden1, model, named_modules, graph)
    with graph.inserting_after(hidden1_dq):
        hidden_dq = graph.call_function(tuple, ([hidden0_dq, hidden1_dq],))
    with graph.inserting_after(hidden_dq):
        lstm_output_dq = graph.call_function(tuple, ([output_dq, hidden_dq],))
    for user in list(node.users.keys()):
        if <MASK>:
            user.replace_input_with(node, lstm_output_dq)
    _reroute_tuple_getitem_pattern(graph)
    return lstm_output_dq",False,user != output and user != hidden,node . op == ' call_function ',60.01
"def _make_temp_dir(prefix: Optional[str]=None, gc_dev_shm: bool=False) -> str:
    """"""Create a temporary directory. The caller is responsible for cleanup.

    This function is conceptually similar to `tempfile.mkdtemp`, but with
    the key additional feature that it will use shared memory if the
    `BENCHMARK_USE_DEV_SHM` environment variable is set. This is an
    implementation detail, but an important one for cases where many Callgrind
    measurements are collected at once. (Such as when collecting
    microbenchmarks.)

    This is an internal utility, and is exported solely so that microbenchmarks
    can reuse the util.
    """"""
    use_dev_shm: bool = (os.getenv('BENCHMARK_USE_DEV_SHM') or '').lower() in ('1', 'true')
    if use_dev_shm:
        root = '/dev/shm/pytorch_benchmark_utils'
        if os.name != 'posix':
            raise AssertionError(f'tmpfs (/dev/shm) is POSIX only, current platform is {os.name}')
        if not os.path.exists('/dev/shm'):
            raise AssertionError('This system does not appear to support tmpfs (/dev/shm).')
        os.makedirs(root, exist_ok=True)
        if gc_dev_shm:
            for i in os.listdir(root):
                owner_file = os.path.join(root, i, 'owner.pid')
                if not os.path.exists(owner_file):
                    continue
                with open(owner_file) as f:
                    owner_pid = int(f.read())
                if <MASK>:
                    continue
                try:
                    os.kill(owner_pid, 0)
                except OSError:
                    print(f'Detected that {os.path.join(root, i)} was orphaned in shared memory. Cleaning up.')
                    shutil.rmtree(os.path.join(root, i))
    else:
        root = tempfile.gettempdir()
    name = f'{prefix or tempfile.gettempprefix()}__{int(time.time())}__{uuid.uuid4()}'
    path = os.path.join(root, name)
    os.makedirs(path, exist_ok=False)
    if use_dev_shm:
        with open(os.path.join(path, 'owner.pid'), 'w') as f:
            f.write(str(os.getpid()))
    return path",False,owner_pid == os.getpid(),os . path . exists ( m ),64.57
"def apply_str(self) -> DataFrame | Series:
    if <MASK>:
        obj = self.obj
        value = obj.shape[self.axis]
        return obj._constructor_sliced(value, index=self.agg_axis)
    return super().apply_str()",False,self.func == 'size',"isinstance ( value , str )",56.71
"def deconstruct(self):
    kwargs = {'code': self.code}
    if self.reverse_code is not None:
        kwargs['reverse_code'] = self.reverse_code
    if <MASK>:
        kwargs['atomic'] = self.atomic
    if self.hints:
        kwargs['hints'] = self.hints
    return (self.__class__.__qualname__, [], kwargs)",False,self.atomic is not None,self . code is not None,46.31
"def array_ufunc(self, ufunc: np.ufunc, method: str, *inputs: Any, **kwargs: Any):
    """"""
    Compatibility with numpy ufuncs.

    See also
    --------
    numpy.org/doc/stable/reference/arrays.classes.html#numpy.class.__array_ufunc__
    """"""
    from pandas.core.frame import DataFrame, Series
    from pandas.core.generic import NDFrame
    from pandas.core.internals import BlockManager
    cls = type(self)
    kwargs = _standardize_out_kwarg(**kwargs)
    result = maybe_dispatch_ufunc_to_dunder_op(self, ufunc, method, *inputs, **kwargs)
    if result is not NotImplemented:
        return result
    no_defer = (np.ndarray.__array_ufunc__, cls.__array_ufunc__)
    for item in inputs:
        higher_priority = hasattr(item, '__array_priority__') and item.__array_priority__ > self.__array_priority__
        has_array_ufunc = hasattr(item, '__array_ufunc__') and type(item).__array_ufunc__ not in no_defer and (not isinstance(item, self._HANDLED_TYPES))
        if higher_priority or has_array_ufunc:
            return NotImplemented
    types = tuple((type(x) for x in inputs))
    alignable = [x for (x, t) in zip(inputs, types, strict=True) if issubclass(t, NDFrame)]
    if len(alignable) > 1:
        set_types = set(types)
        if <MASK>:
            raise NotImplementedError(f'Cannot apply ufunc {ufunc} to mixed DataFrame and Series inputs.')
        axes = self.axes
        for obj in alignable[1:]:
            for (i, (ax1, ax2)) in enumerate(zip(axes, obj.axes, strict=True)):
                axes[i] = ax1.union(ax2)
        reconstruct_axes = dict(zip(self._AXIS_ORDERS, axes, strict=True))
        inputs = tuple((x.reindex(**reconstruct_axes) if issubclass(t, NDFrame) else x for (x, t) in zip(inputs, types, strict=True)))
    else:
        reconstruct_axes = dict(zip(self._AXIS_ORDERS, self.axes, strict=True))
    if self.ndim == 1:
        names = {x.name for x in inputs if hasattr(x, 'name')}
        name = names.pop() if len(names) == 1 else None
        reconstruct_kwargs = {'name': name}
    else:
        reconstruct_kwargs = {}

    def reconstruct(result):
        if ufunc.nout > 1:
            return tuple((_reconstruct(x) for x in result))
        return _reconstruct(result)

    def _reconstruct(result):
        if lib.is_scalar(result):
            return result
        if result.ndim != self.ndim:
            if method == 'outer':
                raise NotImplementedError
            return result
        if isinstance(result, BlockManager):
            result = self._constructor_from_mgr(result, axes=result.axes)
        else:
            result = self._constructor(result, **reconstruct_axes, **reconstruct_kwargs, copy=False)
        if len(alignable) == 1:
            result = result.__finalize__(self)
        return result
    if 'out' in kwargs:
        result = dispatch_ufunc_with_out(self, ufunc, method, *inputs, **kwargs)
        return reconstruct(result)
    if method == 'reduce':
        result = dispatch_reduction_ufunc(self, ufunc, method, *inputs, **kwargs)
        if result is not NotImplemented:
            return result
    if self.ndim > 1 and (len(inputs) > 1 or ufunc.nout > 1):
        inputs = tuple((np.asarray(x) for x in inputs))
        result = getattr(ufunc, method)(*inputs, **kwargs)
    elif self.ndim == 1:
        inputs = tuple((extract_array(x, extract_numpy=True) for x in inputs))
        result = getattr(ufunc, method)(*inputs, **kwargs)
    elif method == '__call__' and (not kwargs):
        mgr = inputs[0]._mgr
        result = mgr.apply(getattr(ufunc, method))
    else:
        result = default_array_ufunc(inputs[0], ufunc, method, *inputs, **kwargs)
    result = reconstruct(result)
    return result",False,"len(set_types) > 1 and {DataFrame, Series}.issubset(set_types)","isinstance ( result , np . ndarray )",60.55
"@dispatch.dispatch_for_api(nn_ops.dropout)
def dropout_v1(x: ragged_tensor.Ragged, keep_prob=None, noise_shape=None, seed=None, name=None, rate=None):
    """"""Ragged dispatch target for tf.nn.dropout.""""""
    if <MASK>:
        raise ValueError('noise_shape is not supported yet for RaggedTensor x')
    with ops.name_scope(name, 'RaggedNNDropout', [x, rate]):
        x = ragged_tensor.convert_to_tensor_or_ragged_tensor(x, name='x')
        return x.with_flat_values(nn_ops.dropout(x.flat_values, keep_prob=keep_prob, seed=seed, rate=rate))",False,noise_shape is not None,dtype is None,44.49
"def broadcast_shapes_for_args(args: Sequence[ShapeArg]) -> BlockShapeType:
    result_shape: BlockShapeType = None
    for arg in args:
        if hasattr(arg, 'shape'):
            shape = arg.shape
            if shape is None:
                return None
            elif result_shape is None:
                result_shape = tuple(shape)
            else:
                result_shape = get_broadcasted_shape(result_shape, tuple(shape))
        elif <MASK>:
            if result_shape is None:
                result_shape = ()
        elif isinstance(arg, torch.dtype):
            continue
        else:
            from torch._inductor.loop_body import LoopBody, LoopBodyBlock
            if isinstance(arg, (LoopBodyBlock, LoopBody, OpsValue)):
                return None
            raise TypeError(f'Unknown type: {type(arg)}')
    return result_shape",False,"isinstance(arg, (int, float))","isinstance ( arg , torch . Tensor )",74.68
"def c_mod(a, b):
    ret = abs(a) % abs(b)
    if <MASK>:
        ret *= -1
    return ret",False,a < 0,"isinstance ( a , ( list , tuple ))",53.2
"def fetch(resources=None, languages=None, date_since=None, verbosity=0):
    """"""
    Fetch translations from Transifex, wrap long lines, generate mo files.
    """"""
    if date_since is None:
        resource_lang_mapping = {}
    else:
        resource_lang_mapping = list_resources_with_updates(date_since=date_since, resources=resources, languages=languages, verbosity=verbosity)
        resources = resource_lang_mapping.keys()
    locale_dirs = _get_locale_dirs(resources)
    errors = []
    for (name, dir_) in locale_dirs:
        cmd = ['tx', 'pull', '-r', _tx_resource_for_name(name), '-f', '--minimum-perc=5']
        per_resource_langs = resource_lang_mapping.get(name, languages)
        if per_resource_langs is None:
            run([*cmd, '--all'], verbosity=verbosity)
            target_langs = sorted((d for d in os.listdir(dir_) if not d.startswith('_') and d != 'en'))
        else:
            run([*cmd, '-l', ','.join(per_resource_langs)], verbosity=verbosity)
            target_langs = per_resource_langs
        target_langs = [LANG_OVERRIDES.get(d, d) for d in target_langs]
        for lang in target_langs:
            po_path = '%(path)s/%(lang)s/LC_MESSAGES/django%(ext)s.po' % {'path': dir_, 'lang': lang, 'ext': 'js' if name.endswith('-js') else ''}
            if not os.path.exists(po_path):
                print('No %(lang)s translation for resource %(name)s' % {'lang': lang, 'name': name})
                continue
            run(['msgcat', '--no-location', '-o', po_path, po_path], verbosity=verbosity)
            msgfmt = run(['msgfmt', '-c', '-o', '%s.mo' % po_path[:-3], po_path], verbosity=verbosity)
            if msgfmt.returncode != 0:
                errors.append((name, lang))
    if errors:
        print('\nWARNING: Errors have occurred in following cases:')
        for (resource, lang) in errors:
            print('\tResource %s for language %s' % (resource, lang))
        exit(1)
    if <MASK>:
        print('\nCOMPLETED.')",False,verbosity,os . path . exists ( os . path ),55.48
"def predict_proba(self, X):
    """"""Predict class probabilities for X.

        The predicted class probabilities of an input sample is computed as
        the weighted mean predicted class probabilities of the classifiers
        in the ensemble.

        Parameters
        ----------
        X : {array-like, sparse matrix} of shape (n_samples, n_features)
            The training input samples. Sparse matrix can be CSC, CSR, COO,
            DOK, or LIL. COO, DOK, and LIL are converted to CSR.

        Returns
        -------
        p : ndarray of shape (n_samples, n_classes)
            The class probabilities of the input samples. The order of
            outputs is the same of that of the :term:`classes_` attribute.
        """"""
    check_is_fitted(self)
    n_classes = self.n_classes_
    if <MASK>:
        return np.ones((_num_samples(X), 1))
    decision = self.decision_function(X)
    return self._compute_proba_from_decision(decision, n_classes)",False,n_classes == 1,self . verbose,50.01
"def _build_tensor_slices_dataset(self, components, options=None):
    dataset = dataset_ops.Dataset.from_tensor_slices(components)
    if <MASK>:
        dataset = dataset.with_options(options)
    return dataset",False,options,options is None,69.53
"def check_bool_indexer(index: Index, key) -> np.ndarray:
    """"""
    Check if key is a valid boolean indexer for an object with such index and
    perform reindexing or conversion if needed.

    This function assumes that is_bool_indexer(key) == True.

    Parameters
    ----------
    index : Index
        Index of the object on which the indexing is done.
    key : list-like
        Boolean indexer to check.

    Returns
    -------
    np.array
        Resulting key.

    Raises
    ------
    IndexError
        If the key does not have the same length as index.
    IndexingError
        If the index of the key is unalignable to index.
    """"""
    result = key
    if isinstance(key, ABCSeries) and (not key.index.equals(index)):
        indexer = result.index.get_indexer_for(index)
        if -1 in indexer:
            raise IndexingError('Unalignable boolean Series provided as indexer (index of the boolean Series and of the indexed object do not match).')
        result = result.take(indexer)
        if <MASK>:
            return result.astype(bool)._values
    if is_object_dtype(key):
        result = np.asarray(result, dtype=bool)
    elif not is_array_like(result):
        result = pd_array(result, dtype=bool)
    return check_array_indexer(index, result)",False,"not isinstance(result.dtype, ExtensionDtype)","isinstance ( key , np . ndarray )",60.55
"def arrow_table_to_pandas(table: pyarrow.Table, dtype_backend: DtypeBackend | Literal['numpy'] | lib.NoDefault=lib.no_default, null_to_int64: bool=False, to_pandas_kwargs: dict | None=None, dtype: DtypeArg | None=None, names: Sequence[Hashable] | None=None) -> pd.DataFrame:
    pa = import_optional_dependency('pyarrow')
    to_pandas_kwargs = {} if to_pandas_kwargs is None else to_pandas_kwargs
    types_mapper: type[pd.ArrowDtype] | None | Callable
    if dtype_backend == 'numpy_nullable':
        mapping = _arrow_dtype_mapping()
        if null_to_int64:
            mapping[pa.null()] = pd.Int64Dtype()
        types_mapper = mapping.get
    elif dtype_backend == 'pyarrow':
        types_mapper = pd.ArrowDtype
    elif using_string_dtype():
        if pa_version_under19p0:
            types_mapper = _arrow_string_types_mapper()
        elif dtype is not None:
            types_mapper = {pa.int8(): pd.Int8Dtype(), pa.int16(): pd.Int16Dtype(), pa.int32(): pd.Int32Dtype(), pa.int64(): pd.Int64Dtype()}.get
        else:
            types_mapper = None
    elif <MASK>:
        if dtype is not None:
            types_mapper = {pa.int8(): pd.Int8Dtype(), pa.int16(): pd.Int16Dtype(), pa.int32(): pd.Int32Dtype(), pa.int64(): pd.Int64Dtype()}.get
        else:
            types_mapper = None
    else:
        raise NotImplementedError
    df = table.to_pandas(types_mapper=types_mapper, **to_pandas_kwargs)
    return _post_convert_dtypes(df, dtype_backend, dtype, names)",False,dtype_backend is lib.no_default or dtype_backend == 'numpy',dtype . kind == ' placeholder ',35.64
"def get_sequence_length(model_cls, model_name):
    if model_name.startswith(('Blenderbot',)):
        seq_length = 128
    elif <MASK>:
        seq_length = 1024
    elif model_name in ('AllenaiLongformerBase', 'BigBird'):
        seq_length = 1024
    elif model_name.startswith('OPT'):
        seq_length = 2048
    elif 'Reformer' in model_name:
        seq_length = 4096
    elif model_name.startswith(('Albert', 'Deberta', 'Layout', 'Electra', 'XLNet', 'MegatronBert', 'Bert', 'Roberta')) or model_name in ('DistillGPT2', 'GoogleFnet', 'YituTechConvBert'):
        seq_length = 512
    elif model_name in 'TrOCRForCausalLM':
        seq_length = 256
    elif model_name.startswith('MobileBert'):
        seq_length = 128
    elif model_name.startswith('Wav2Vec2'):
        seq_length = 10000
    else:
        log.info(f'Sequence Length not defined for {model_name}. Choosing 128 arbitrarily')
        seq_length = 128
    return seq_length",False,"model_name.startswith(('GPT2', 'Bart', 'T5', 'PLBart', 'MBart'))",len ( size ) == 1,32.54
"@compatibility(is_backward_compatible=True)
def __init__(self, root: Union[torch.nn.Module, dict[str, Any]], graph: Graph, class_name: str='GraphModule'):
    """"""
        Construct a GraphModule.

        Args:

            root (Union[torch.nn.Module, Dict[str, Any]):
                ``root`` can either be an nn.Module instance or a Dict mapping strings to any attribute type.
                In the case that ``root`` is a Module, any references to Module-based objects (via qualified
                name) in the Graph's Nodes' ``target`` field will be copied over from the respective place
                within ``root``'s Module hierarchy into the GraphModule's module hierarchy.
                In the case that ``root`` is a dict, the qualified name found in a Node's ``target`` will be
                looked up directly in the dict's keys. The object mapped to by the Dict will be copied
                over into the appropriate place within the GraphModule's module hierarchy.

            graph (Graph): ``graph`` contains the nodes this GraphModule should use for code generation

            class_name (str): ``name`` denotes the name of this GraphModule for debugging purposes. If it's unset, all
                error messages will report as originating from ``GraphModule``. It may be helpful to set this
                to ``root``'s original name or a name that makes sense within the context of your transform.
        """"""
    super().__init__()
    self.__class__.__name__ = class_name
    if isinstance(root, torch.nn.Module):
        if hasattr(root, 'training'):
            self.training = root.training
        if isinstance(root, _CodeOnlyModule):
            for (k, _) in root.named_children():
                _copy_attr(root, self, k)
            for (k, _) in root.named_buffers():
                _copy_attr(root, self, k)
            for (k, _) in root.named_parameters():
                _copy_attr(root, self, k)
        for node in graph.nodes:
            if node.op in ['get_attr', 'call_module']:
                assert isinstance(node.target, str)
                _copy_attr(root, self, node.target)
    elif isinstance(root, dict):
        targets_to_copy = []
        for node in graph.nodes:
            if node.op in ['get_attr', 'call_module']:
                assert isinstance(node.target, str)
                if <MASK>:
                    raise RuntimeError('Node ' + str(node) + ' referenced target ' + node.target + ' but that target was not provided in ``root``!')
                targets_to_copy.append(node.target)
        targets_to_copy.sort(key=lambda t: t.count('.'))
        for target_to_copy in targets_to_copy:
            _assign_attr(root[target_to_copy], self, target_to_copy)
    else:
        raise RuntimeError('Unsupported type ' + str(root) + ' passed for root!')
    self.graph = graph
    self._tracer_cls = None
    if self.graph._tracer_cls and '<locals>' not in self.graph._tracer_cls.__qualname__:
        self._tracer_cls = self.graph._tracer_cls
    self._tracer_extras = {}
    if self.graph._tracer_extras:
        self._tracer_extras = self.graph._tracer_extras
    self.meta: dict[str, Any] = {}
    self._replace_hooks: list[Callable] = []
    self._create_node_hooks: list[Callable] = []
    self._erase_node_hooks: list[Callable] = []
    self._deepcopy_hooks: list[Callable] = []
    self.shape_env = None",False,node.target not in root,node . op == ' call_function ',50.16
"def sig_for_ops(opname: str) -> list[str]:
    """"""sig_for_ops(opname : str) -> list[str]

    Returns signatures for operator special functions (__add__ etc.)""""""
    assert opname.endswith('__') and opname.startswith('__'), f'Unexpected op {opname}'
    name = opname[2:-2]
    if name == 'rpow':
        return [f'def {opname}(self, other: Tensor | Number | _complex) -> Tensor: ...  # type: ignore[has-type]']
    elif name in arithmetic_ops:
        if <MASK>:
            return [f'def {opname}(self, other: Tensor | Number | _complex) -> Tensor: ...  # noqa: PYI034']
        return [f'def {opname}(self, other: Tensor | Number | _complex) -> Tensor: ...']
    elif name in logic_ops:
        return [f'def {opname}(self, other: Tensor | _int) -> Tensor: ...']
    elif name in shift_ops:
        return [f'def {opname}(self, other: Tensor | _int) -> Tensor: ...']
    elif name in symmetric_comparison_ops:
        return [f'def {opname}(self, other: Tensor | Number | _complex) -> Tensor: ...  # type: ignore[overload-overlap]', f'def {opname}(self, other: object) -> _bool: ...']
    elif name in asymmetric_comparison_ops:
        return [f'def {opname}(self, other: Tensor | Number | _complex) -> Tensor: ...']
    elif name in unary_ops:
        return [f'def {opname}(self) -> Tensor: ...']
    if name in to_py_type_ops:
        if name in {'bool', 'float', 'complex'}:
            tname = name
        elif name == 'nonzero':
            tname = 'bool'
        else:
            tname = 'int'
        if tname in {'float', 'int', 'bool', 'complex'}:
            tname = '_' + tname
        return [f'def {opname}(self) -> {tname}: ...']
    raise ValueError(f'unknown op {opname!r}')",False,name.startswith('i'),"isinstance ( other , torch . Tensor )",58.76
"def _clone_input(value, fake_mode):
    if isinstance(value, torch.Tensor):
        if <MASK>:
            value = clone_input(value)
    return value",False,"not (isinstance(value, FakeTensor) or (torch._is_functional_tensor(value) and maybe_get_fake_mode(value) is fake_mode) or value.is_nested)","isinstance ( value , torch . Tensor )",84.42
"def _get_default_pk_class(self):
    pk_class_path = getattr(self.app_config, 'default_auto_field', settings.DEFAULT_AUTO_FIELD)
    if <MASK>:
        app_config_class = type(self.app_config)
        source = f'{app_config_class.__module__}.{app_config_class.__qualname__}.default_auto_field'
    else:
        source = 'DEFAULT_AUTO_FIELD'
    if not pk_class_path:
        raise ImproperlyConfigured(f'{source} must not be empty.')
    try:
        pk_class = import_string(pk_class_path)
    except ImportError as e:
        msg = f""{source} refers to the module '{pk_class_path}' that could not be imported.""
        raise ImproperlyConfigured(msg) from e
    if not issubclass(pk_class, AutoField):
        raise ValueError(f""Primary key '{pk_class_path}' referred by {source} must subclass AutoField."")
    return pk_class",False,self.app_config and self.app_config._is_default_auto_field_overridden,"not isinstance ( source , str )",43.41
"@deprecated(DEPRECATE_MSG, category=FutureWarning)
def reshard(self, resharding_spec: shard_spec.ShardingSpec) -> ShardedTensor:
    """"""
        Reshard a sharded tensor given the ``resharding_spec``. For now, we only support
        single local shard.

        If ``resharding_spec`` is same as the original one, this becomes a no-op.
        If only ``resharding_spec`` shares the same sharding dim with the original one,
        we swap local shards directly.
        For more generic cases, we merge different shards across different ranks and split
        the local shards based on the ``resharding_spec`` via `all_to_all` collective API.

        Args:
            resharding_spec (:class:`torch.distributed._shard.sharding_spec.ShardingSpec`): The
                specification describing how the tensor is sharded.

        Returns:
            A :class:`ShardedTensor` object whose local shards are resharded.

        Examples:
            >>> # xdoctest: +SKIP
            >>> # We have 2 process groups, 2 ranks.
            >>> tensor = torch.arange(4, dtype=torch.int64) + 1 + 2 * rank
            >>> tensor = torch.stack([tensor, tensor])
            >>> tensor
            tensor([[1, 2, 3, 4], [1, 2, 3, 4]]) # Rank 0
            tensor([[3, 4, 5, 6], [3, 4, 5, 6]]) # Rank 1
            tensor([[5, 6, 7, 8], [5, 6, 7, 8]]) # Rank 2
            tensor([[7, 8, 9, 10], [7, 8, 9, 10]]) # Rank 3
            >>> sharding_dim = 0
            >>> spec = ChunkShardingSpec(
                    dim=sharding_dim,
                    placements=[
                        ""rank:0/cuda:0"",
                        ""rank:1/cuda:1"",
                        ""rank:2/cuda:2"",
                        ""rank:3/cuda:3"",
                    ],
                )
            >>> current_offsets = [0] * 2
            >>> current_offsets[0] = rank * 2
            >>> shard_metadata = ShardMetadata(
                    shard_offsets=copy.deepcopy(current_offsets),
                    shard_sizes=tensor.size(),
                    placement=spec.placements[rank],
                )
            >>> local_shards = [
                    Shard(
                        tensor=tensor,
                        metadata=shard_metadata,
                    )
                ]
            >>> st = ShardedTensor._init_from_local_shards(local_shards, tensor.size())
            >>> sharding_dim = 1
            >>> resharding_spec = ChunkShardingSpec(
                    dim=sharding_dim,
                    placements=[
                        ""rank:0/cuda:0"",
                        ""rank:1/cuda:1"",
                        ""rank:2/cuda:2"",
                        ""rank:3/cuda:3"",
                    ],
                )
            >>> st.reshard(resharding_spec)
            >>> tensor = st.local_shards()[0].tensor
            >>> tensor
            tensor([[1], [1], [3], [3], [5], [5], [7], [7]]) # Rank 0
            tensor([[2], [2], [4], [4], [6], [6], [8], [8]]) # Rank 1
            tensor([[3], [3], [5], [5], [7], [7], [9], [9]]) # Rank 2
            tensor([[4], [4], [6], [6], [8], [8], [10], [10]]) # Rank 3
        """"""
    if not isinstance(resharding_spec, shard_spec.ChunkShardingSpec) or not isinstance(self._sharding_spec, shard_spec.ChunkShardingSpec):
        raise NotImplementedError('Only ChunkShardingSpec supported for reshard.')
    num_local_shards = len(self.local_shards())
    if num_local_shards != 1:
        raise NotImplementedError(f'Only single local shard supported for reshard. Number of shards: {num_local_shards}')
    if <MASK>:
        if self._sharding_spec.placements == resharding_spec.placements:
            return self
        else:
            (local_shards, shards_metadata) = reshuffle_local_shard(self.local_tensor(), self.size(), self._sharding_spec, resharding_spec, self._process_group)
    else:
        (local_shards, shards_metadata) = reshard_local_shard(self.local_tensor(), self.size(), self._sharding_spec, resharding_spec, self._process_group)
    self._local_shards = local_shards
    self._metadata.shards_metadata = shards_metadata
    self._sharding_spec = resharding_spec
    return self",False,self._sharding_spec.dim == resharding_spec.dim,self . rank == 1,54.56
"def setup(self, dtype, exponent, title):
    M = 3 * 2 ** (exponent - 2)
    self.series = Series(np.random.randint(0, M, M)).astype(dtype)
    values = np.random.randint(0, M, M).astype(dtype)
    if title == 'inside':
        self.values = values
    elif <MASK>:
        self.values = values + M
    else:
        raise ValueError(title)",False,title == 'outside',dtype . kind == ' f ',44.76
"@triton.jit
def maximum_with_index(a_value, a_index, b_value, b_index):
    mask = a_value > b_value
    equal = a_value == b_value
    if <MASK>:
        a_isnan = a_value != a_value
        b_isnan = b_value != b_value
        mask |= a_isnan & (not b_isnan)
        equal |= a_isnan & b_isnan
    mask |= equal & (a_index < b_index)
    return (tl.where(mask, a_value, b_value), tl.where(mask, a_index, b_index))",False,is_floating(a_value),mask is not None,58.3
"def to_fullargspec(function_type: function_type_lib.FunctionType, default_values: Dict[str, Any]) -> inspect.FullArgSpec:
    """"""Generates backwards compatible FullArgSpec from FunctionType.""""""
    args = []
    varargs = None
    varkw = None
    defaults = []
    kwonlyargs = []
    kwonlydefaults = {}
    for parameter in function_type.parameters.values():
        if parameter.kind in [inspect.Parameter.POSITIONAL_ONLY, inspect.Parameter.POSITIONAL_OR_KEYWORD]:
            args.append(parameter.name)
            if <MASK>:
                defaults.append(default_values[parameter.name])
        elif parameter.kind is inspect.Parameter.KEYWORD_ONLY:
            kwonlyargs.append(parameter.name)
            if parameter.default is not inspect.Parameter.empty:
                kwonlydefaults[parameter.name] = default_values[parameter.name]
        elif parameter.kind is inspect.Parameter.VAR_POSITIONAL:
            varargs = parameter.name
        elif parameter.kind is inspect.Parameter.VAR_KEYWORD:
            varkw = parameter.name
    return inspect.FullArgSpec(args, varargs, varkw, tuple(defaults) if defaults else None, kwonlyargs, kwonlydefaults if kwonlydefaults else None, annotations={})",False,parameter.default is not inspect.Parameter.empty,"isinstance ( arg , str )",46.12
"def _str_accumulate(self, name: str, *, skipna: bool=True, **kwargs) -> ArrowExtensionArray | ExtensionArray:
    """"""
        Accumulate implementation for strings, see `_accumulate` docstring for details.

        pyarrow.compute does not implement these methods for strings.
        """"""
    if name == 'cumprod':
        msg = f""operation '{name}' not supported for dtype '{self.dtype}'""
        raise TypeError(msg)
    tail: pa.array | None = None
    na_mask: pa.array | None = None
    pa_array = self._pa_array
    np_func = {'cumsum': np.cumsum, 'cummin': np.minimum.accumulate, 'cummax': np.maximum.accumulate}[name]
    if self._hasna:
        na_mask = pc.is_null(pa_array)
        if pc.all(na_mask) == pa.scalar(True):
            return self._from_pyarrow_array(pa_array)
        if skipna:
            if name == 'cumsum':
                pa_array = pc.fill_null(pa_array, '')
            else:
                pa_array = pc.fill_null_forward(pa_array)
                pa_array = pc.fill_null_backward(pa_array)
        else:
            idx = pc.index(na_mask, True).as_py()
            tail = pa.nulls(len(pa_array) - idx, type=pa_array.type)
            pa_array = pa_array[:idx]
    pa_result = pa.array(np_func(pa_array), type=pa_array.type)
    if <MASK>:
        pa_result = pa.concat_arrays([pa_result, tail])
    elif na_mask is not None:
        pa_result = pc.if_else(na_mask, None, pa_result)
    result = self._from_pyarrow_array(pa_result)
    return result",False,tail is not None,self . dtype . kind == ' f ',42.54
